prompt,completion
one ,"もういちど	
Onyomi
ICHI, ITSU	
""Eazy-e's debut album ""EAZY duz it"" was so good, IT'S going to go to number one on the charts.""

Mnemonic
Kunyomi
ひと*つ	one thing
★★★★☆
Jukugo
もう一度もういちど	
one more time! ★★★★★
一 (one) + 度 (times) = もう一度 (one more time!)

一緒いっしょ に	
together ★★★★★
一 (one) + 緒 (together) = 一緒 (together)

一人ひとり で	
one person, alone ★★★★★ FP
一 (one) + 人 (person) = 一人 (one person, alone)

一般的いっぱんてき な	
ordinary ★★★★★
一般 (generally, commonly) + 的 (motivation / '-al') = 一般的 (ordinary)

One of many many Japanese words for 'normal.' The nuance of いっぱんてき　is ordinary, non-special - as opposed to a member of a special group of people of things. 一般的な人 means, an average person. As in, 'an average person is not allowed in this Yakuza bar.'

一日ついたち	
first day of the month ★★★★☆ FP
一 (one) + 日 (sun, day) = 一日 (first day of the month)

一番いちばん	
number one! ★★★★☆ NEO
一 (one) + 番 (number) = 一番 (number one!)

the best! Number one!"
two,"二 two
★★★★★
2 strokes
DUH
Onyomi
NI	
as in, ""Vince NEIL has two chins.""

Mnemonic
Kunyomi
ふた*つ	two things
★★★★☆
Jukugo
二人ふたり で	
two people ★★★★★ FP
二 (two) + 人 (person) = 二人 (two people)

二月にがつ	
February ★★★★★ KANA
二 (two) + 月 (moon) = 二月 (February)

二日酔いふつかよい	
hangover ★★★★☆ SARC
二 (two) + 日 (sun, day) + 酔 (drunk) = 二日酔い (hangover)

hangover (literally: 'paying for your drink'）

二日ふつか	
second day of the month ★★★★☆
二 (two) + 日 (sun, day) = 二日 (second day of the month)

二重にじゅう XXX	
double-xxx ★☆☆☆☆ PRE
二 (two) + 重 (heavy / overlap) = 二重 (double-xxx)

PREFIX meaning double, as in ""double-chin"" or ""twin-engine plane.""
"
three,"三 three
★★★★★
3 strokes
PNDUH
Onyomi
SAN	
as in, ""SANTA Claus has three wives.""

Mnemonic
Kunyomi
み*つ	(also sometimes pronounced み＊っつ) three things. Yes, it's got 2 pronunciations
★★★★☆
Jukugo
三人さんにん で	
can you guess?!??? ★★★★★
三 (three) + 人 (person) = 三人 (can you guess?!???)

三月さんがつ	
March ★★★★★ KANA
三 (three) + 月 (moon) = 三月 (March)

三角さんかく	
triangle ★★☆☆☆
三 (three) + 角 (horn/corner) = 三角 (triangle)"
total,"了 total
★★★★☆
2 strokes
BETAPK
Onyomi
RYOU	
as in, ""We don't have the total number of parts, so we need to REORDER more.""

Mnemonic
To me it just looks like a broken coat hanger, which is totally useless.

Jukugo
完了かんりょう する	
finish ★★★☆☆ NP
完 (complete) + 了 (total) = 完了 (finish)

to finish work on a project - an annual report, a re-formatting of the database, etc.

了解りょうかい	
OK, got it. ★★★☆☆
了 (total) + 解 (solve / untie) = 了解 (OK, got it.)

roger that! ('I got it!') (originally used by military, but now often used when you text, because of its brevity)!

終了しゅうりょう	
expire ☆☆☆☆☆ NP
終 (end) + 了 (total) = 終了 (expire)

to expire, to come to an end (used about contracts or subscriptions expiring)"
child,"子 child
一 (one/line radical) + 了 (total)
★★★★★
3 strokes
PN
From now on, when you see a kanji with the onyomi of ""KO"", please use 子供 (KOdomo) for the English keyword.
Onyomi
SHI	
Mnemonic
That poor child ーSHE has lived a total of one year!

Kunyomi
こ	child
★★★★★
Jukugo
子供こども	
child ★★★★★ KUNKUN
子 (child) + 供 (follower) = 子供 (child)

親子おやこ	
meat and eggs ★★★★☆ SARCKUNKUN
親 (parents/kindness) + 子 (child) = 親子 (meat and eggs)

parents and child together - also the rather cruel name for a traditional dish: boiled chicken served with scrambled eggs.

調子ちょうし	
condition ★★★★☆
調 (check out) + 子 (child) = 調子 (condition)

the condition something's in. Can be used with a living thing or object. Always used only with いい or 悪い. Usually emphaizes the LONG TERM condition. Although hungover people have been heard to remark, 調子が悪い！

椅子いす	
chair ★★★☆☆ FP1/2 KANA

車椅子くるまいす	
wheelchair ★★☆☆☆ KUNKUNNEO
車 (car) + 子 (chair) = 車椅子 (wheelchair)

Lookalikes
Meaning	Hint	Radical
子	child	the 'one' radical	一
了	total	NO 'one' radical	
予	beforehand	katakana MA	マ
A child is ONE year old.

The complete kanji is complete even WITHOUT the 'one' radical.

MAMA was around before baby."
woman,"女 woman
★☆☆☆☆
3 strokes
PKSYMBOLIC
Onyomi
JO	
as in, ""Jack Off.""

Mnemonic
It looks like a lady, tilting her head to one side and crossing her arms as she watches you JACK OFF. She really disapproves of it!!!

Kunyomi
おんな	woman - but don't say it by itself, it's like saying 'That broad.'
★★★★★
Jukugo
彼女かのじょ	
her / girlfriend ★★★★★
彼 (him) + 女 (woman) = 彼女 (her / girlfriend)

her. Might also mean 'girlfriend' depending on context.

女の人おんなのひと	
woman ★★★★★
女 (woman) + 人 (person) = 女の人 (woman)

the polite- but not formal - way to say woman

女の子おんなのこ	
girl ★★★★★
女 (woman) + 子 (child) = 女の子 (girl)

girl . Newspapers use it for a female up through junior high, but guys talking about 'chicks,dude' might use it to refer to a 20 year old.

少女しょうじょ	
young girl ★★★★☆
少 (a little (amount)) + 女 (woman) = 少女 (young girl)

young girl - usually 5- 15 years old.

女性じょせい	
female ★★★☆☆
女 (woman) + 性 (sex / essential nature) = 女性 (female)

female - emphasizes biology, (sex, rather than gender).

女子じょし	
female xxx / xxx for girls ★★★☆☆ PRE
女 (woman) + 子 (child) = 女子 (female xxx / xxx for girls)

PREFIX used about women from first grade through college. Used to refer to female students as a group: ""女子 line up on the left side of the class, 男子 (danshi) line up on the right side."" BOOBOO: You wouldn't say ""She's a joshi.""

女子高生じょしこうせい	
high school girl. ★★★☆☆
女子 (female xxx / xxx for girls) + 高 (tall) + 生 (life / birth) = 女子高生 (high school girl.)"
like,"子 (child) + 女 (woman)
★★★★★
6 strokes
Onyomi
KOU	
Your Moms likes exercising her COLON on Youtube.

Mnemonic
A woman and her child means 'like', huh? Think you can handle the linguistics by yourself, Noam Chomsky??

Kunyomi
( が ) す*き	to like
★★★★★
この＊む	To have a preference for.
★★☆☆☆
この＊み	The noun form of 好む. You often say, 'That's my konomi,' meaning 'That's my favorite kind' . . . but it also implies that you know a lot about that thing.(***)
★★★☆☆
Jukugo
大好きだいすき	
really like ★★★★★
大 (big) + 好 (like) = 大好き (really like)

格好かっこう	
looks ★★★★★ 1/2 KANA
格 (character, aspect) + 好 (like) = 格好 (looks)

literally, 'look' or 'shape,' as in 'He's dressed as a woman' : おんなの格好してる。

But　usually it means 'coolness:' かっこいい (cool) or かっこうわるい (not).(when used in the figurative, 'cool' sense, it is usually KANA)

格好つけるかっこうつける	
try too hard to be cool ★★★☆☆ KANA
格 (character, aspect) + 好 (like) = 格好つける (try too hard to be cool)

this is a rad one. it means ""try too hard to be cool"". (Literally ""manufacturing coolness"")

好奇心こうきしん	
curiosity ★☆☆☆☆
好 (like) + 奇 (strange) + 心 (heart) = 好奇心 (curiosity)

curiosity

BOOBOO: if you want to say you're curious about a specific thing, you'd use 興味　（きょうみ） instead.

好奇心 usually means ""curiosity-in-general"": 　you have an inquiring personality, or a gaze of curiosity on your face. You'd never say, ""Oh, you play in a band? 好奇心ある！”"
rape,"女 (woman)
★☆☆☆☆
9 strokes
BETAFRABU
By looking at the radicals you can see how Politically Incorrect Ancient China was when they were inventing kanji. You see three women and you'd assume the kanji would mean something positive, like sisterhood or a cheerleader human pyramid. Buuuuuut no.
Onyomi
KAN	
Genghis KHAN raped three women.

Mnemonic
Jukugo
強姦ごうかん する	
rape ★★★☆☆ FP
強 (burly) + 姦 (rape) = 強姦 (rape)

法定強姦ほうていごうかん	
statuatory rape ☆☆☆☆☆ NP
法 (law) + 定 (plan) + 強姦 (rape) = 法定強姦 (statuatory rape)

近親相姦きんしんそうかん	
incest ☆☆☆☆☆ ABU
近 (near) + 親 (parents/kindness) + 相 (partner) + 姦 (rape) = 近親相姦 (incest)

獣姦じゅうかん	
bestiality ☆☆☆☆☆ ABU
獣 (beast) + 姦 (rape) = 獣姦 (bestiality)

死姦しかん	
necrophilia ☆☆☆☆☆ ABU
死 (death) + 姦 (rape) = 死姦 (necrophilia)"
mouth (small box radical),"Onyomi
KOU, KU	
- as in, ""My KUchi on your COLON . "" Disgusting? Yes!. . . but try forgetting this ON-yomi now.

Mnemonic
You can think of this as an open mouth, just yelling at you . Always yelling! Again with the yelling JESUS WOULD YOU SHUT UP ALREADY JUST SHUT UP. YEAH THAT'S RIGHT. JUST CALL THE COPS. GREAT!

Kunyomi
くち	mouth
★★★★★
Jukugo
出口でぐち	
exit. ★★★★★ KUNKUN
出 (pull out / hand over) + 口 (mouth) = 出口 (exit.)

入り口いりぐち	
entrance ★★★★☆ NOKURI
入 (put/go in) + 口 (mouth) = 入り口 (entrance)

entrance (often shortened to 入口）

悪口わるぐち	
talking shit about someone. ★★★☆☆ KUNKUN
悪 (bad) + 口 (mouth) = 悪口 (talking shit about someone.)

銀行口座ぎんこうこうざ	
bank account ★★★☆☆
銀行 (bank) + 口 (mouth) + 座 (sit) = 銀行口座 (bank account)

口説くくどく	
pester ★★☆☆☆
口 (mouth) + 説 (explain) = 口説く (pester)

pester someone, usually for sex

人口じんこう	
population ★★☆☆☆
人 (person) + 口 (mouth) = 人口 (population)

窓口まどぐち	
service window ★★☆☆☆ KUNKUN
窓 (window) + 口 (mouth) = 窓口 (service window)

the kind of depressing place where you get a ticket or food from a person in a box with usually a bulletproof plexiglas window between you and them.

口実こうじつ	
pretext ★☆☆☆☆
口 (mouth) + 実 (truth) = 口実 (pretext)

a pretext. Like, ""I'm studying to be a preacher, but that's just a pretext for me to meet virgin dudes."""
products,"口 (mouth/small box radical)
★★★☆☆
9 strokes
BETAPNDUH
Onyomi
HIN	
Mnemonic
Please show HIM the boxes of products. (he's the customer)

Jukugo
商品しょうひん	
items for sale, merchandise ★★★★☆
商 (merchandise) + 品 (products) = 商品 (items for sale, merchandise)

作品さくひん	
artworks. ★★★☆☆
作 (make) + 品 (products) = 作品 (artworks.)

下品げひん な	
crude ★★★☆☆
下 (below) + 品 (products) = 下品 (crude)

crude. Like chicks sitting with their legs open or guys picking their nose.

新品しんぴん	
new items ★★☆☆☆
新 (new) + 品 (products) = 新品 (new items)

brand new shit - just on the market

上品じょうひん な	
sophisticated ★☆☆☆☆
上 (above) + 品 (products) = 上品 (sophisticated)

can be used of people or things. It means graceful or sophisticated in a quiet or understated way. When it comes to people, 上品 is usually used about women, I mean 'ladies.'

Lookalikes"
